name,status,description,start_date,end_date,requirements,funding,contact,url
Information System for Management and Monitoring of EU Funds in Bulgaria 2020,NA,The project is funded by The technical assistance fund.,NA,NA,"- Technical assistance covers the activities carried by management and control structures and provides effectiveness and efficiency in the development and implementation of the program.
- Application deadline: 30.11.2023 17:00
- Required documents for information and application are listed, including guidelines for application, documents for application, and orders and attachments.
- There are various versions of guidelines for application and beneficiary manuals.
- Electronic reporting of beneficiaries via UMIS 2020 and information about the implementation and progress of operational programs with UMIS 2020 are available.
- There are normative documents for the period 2014 - 2020.
- The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/abe52e78-898c-4153-9094-cdd1b4f49bd4
INFORMATION SYSTEM FOR MANAGEMENT AND MONITORING 2020,NA,"The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"- Technical assistance for the Managing Authority and beneficiaries of OP SESG
- Application time limits: Start - 30.11.2015 13:34, Deadline - 31.12.2023 23:59
- Budget lines can be submitted until 31.12.2023 or until the financial resource for the procedure is exhausted
- Required documents for information and application, including guidelines and conditions for application and execution
- Evaluation tables for complex evaluation
- Information about the implementation and progress of operational programs with UMIS 2020
- Normative documents for the period 2014 - 2020
- Funding by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/2fe757cd-221a-4224-a6a8-d99a00f0f736
"The project mentioned in the text is ""TECHNICAL ASSISTANCE FOR OPERATIONAL PROGRAMME ""GOOD GOVERNANCE'"".",NA,"The project is the Information System for Management and Monitoring of EU Funds in Bulgaria 2020, aimed at ensuring the activities of the Managing Authority in programming, implementation, monitoring, control and evaluation of the Operational Programme ""Good Governance"". It also aims to enhance the administrative capacity of the Managing Authority, improve the capacity of beneficiaries to prepare and implement projects, and provide information and publicity about the objectives and possibilities of the program. The project is funded by the Technical Assistance Fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism.",NA,NA,"1. Ensure the activities of the MA in programming, implementation, monitoring, control, and evaluation of the Operational Programme ""Good Governance"" (OPGG).
2. Enhance the administrative capacity of the Managing Authority (MA) for effective and efficient management of the program.
3. Improve the capacity of beneficiaries to prepare and implement projects in accordance with the priorities, objectives, and requirements of the program.
4. Provide information and publicity about the objectives and possibilities of the program and the positive role of the Community in building an efficient and competent administration and judicial system in Bulgaria.
5. Electronic reporting of beneficiaries via UMIS 2020.
6. Provide information about the implementation and progress of operational programs with UMIS 2020.
7. Adhere to the normative documents for the period 2014-2020.
8. Ensure the proper utilization of EU structural funds in Bulgaria.
9. Collaborate with the European Commission portal.
10. Follow the guidelines and instructions provided in the system for working with the Information System for Management and Monitoring 2020.
11. Ensure accessibility and compliance with the accessibility policy on the site.
12. The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/698ca0fc-7c0a-4891-847e-cca556a9619d
"The name of the project is ""LAG Yablanitsa Pravets Measure 7.2 Investments in creating, improving or expanding all types of small-scale infrastructure.""",NA,"The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"1. The measure provides support for investments aimed at improving the basic services for the population and the small-scale infrastructure in the territory of LAG Yablanitsa Pravets.

2. The application time limits for this measure are as follows:
- Start: 15.01.2019 09:12
- Deadline: 25.03.2019 17:00

3. There will be additional application deadlines if there are remaining funds after the first application period:
- Start: 15.01.2019 09:12
- Deadline: 30.09.2021 17:00

4. The second application period will be extended until 30.11.2021 if there are remaining funds. A third application period may be announced as well.

5. The second application period has been extended until 31.03.2022. A third application period may be announced if there are remaining funds.

6. A fourth application period may be announced if there are remaining funds after the third application period.

7. The internet address for more information and application is http://mig_yp@abv.bg

8. Various documents are required for application and information purposes. These include conditions for application, execution, and information, as well as documents for filling out the application.

9. The project is part of the Information System for Management and Monitoring 2020.

10. The project is funded by the technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/a31a5451-5107-4900-9dd6-13bdb3e2d264
"LAG ""Stambolovo - Kardzhali 54"", Measure 4.1. ""Investments in agricultural holdings""",NA,"The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"- Start and deadline for the application: Start: 18.08.2023 10:00, Deadline: 18.10.2023 17:00
- Additional information on deadline: Internet address: https://www.lagsk.eu 
- Procedural documents required for application and information: Условие за кандидатстване, Условие за изпълнение, Документи за информация към УК, Документи за информация към УИ, Документи за попълване към УК 
- Open calls procedure: LAG ""Stambolovo - Kardzhali 54"", Measure 4.1. ""Investments in agricultural holdings""
- Measure 4.1. aims to support the modernization of farms by introducing new technologies, improving pre-production and storage, and investing in physical and intangible assets related to the organization and management of farms.
- Evaluation tables: Evaluation of administrative compliance and eligibility, Technical and financial evaluation.",0,"Contact information: LAG ""Stambolovo - Kardzhali 54""
Website: https://www.lagsk.eu",https://eumis2020.government.bg//en/s/Procedure/Info/52fa7a11-d6eb-4eae-b743-27dbb37714ab
"""Local Action Group High Western Rhodopes - Borino - Dospat - Sarnitsa""",NA,"The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"1. Procedure clarifications and additional information provided for the application process.
2. Start and deadline dates for each application period.
3. Availability of budget funds for each application period.
4. Documentation required for information and application.
5. Electronic reporting of beneficiaries via UMIS 2020.
6. Information about the implementation and progress of operational programs with UMIS 2020.
7. Normative documents for the period 2014-2020.
8. Information about EU structural Funds in Bulgaria.
9. European Commission portal for accessing relevant information.
10. Glossary of terms and abbreviations in the system.
11. Guide to working with the system.
12. Accessibility policy on the site.
13. The project is funded by the technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/502b50f0-eb7e-4e94-a90c-b9f28ce83ebb
"The name of the project is ""LAG 'Dryanovo - Tryavna - in the heart of the Balkans' - Measure 8.6. 'Investments in forestry technologies and in the processing, mobilization and trade of forest products'"".",NA,"The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"- Funds to support non-state forests
- Sustainable management of forests
- Application time limits: Start: 01.07.2023 00:00; Deadline: 31.10.2023 17:00
- Additional information can be found at http://mig-dryanovo-tryavna.eu
- Required documents for information and application include: Announcement, Conditions for application, Attachments to conditions for application, Information documents, Conditions for execution, Attachments to conditions for execution, Announcement for second admission, Announcement for second admission with extended deadline, Conditions for application - second admission with extended deadline
- Evaluation tables for administrative compliance and eligibility, technical and financial evaluation",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/52ba2f73-f020-439d-b7cf-aad6f49ca1a7
LAG Kostenets 2010 – 6.4.1. „Investments in support of non-agricultural activities“,NA,"The project is aimed at supporting investments in non-agricultural activities, opening and maintaining existing jobs, and diversifying non-agricultural activities in the municipality of Kostenets. Farmers, micro-enterprises, and craftsmen can apply for the procedure. The application deadlines are as follows:
- Start: 20.04.2021, Deadline: 07.06.2021
- Start: 20.04.2021, Deadline: 04.10.2021 (second deadline)
- Start: 20.04.2021, Deadline: 31.05.2022 (third deadline)
- Start: 08.08.2023, Deadline: 18.09.2023 (fourth deadline)
The budget for each application period varies. The project is funded by the technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"The requirements for the project are:
1. Support investments in non-agricultural activities.
2. Open and maintain existing jobs.
3. Diversification of non-agricultural activities in the municipality of Kostenets.
4. Farmers, micro-enterprises, and craftsmen can apply for the procedure.
5. Application time limits: Start - 20.04.2021 09:02, Deadline - 07.06.2021 17:00.
6. Additional deadlines are available for application submission.
7. The project must comply with the specified budget.
8. Applicants must meet the specified eligibility criteria.
9. Technical and financial evaluations will be conducted.
10. The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/cc5bfe14-5536-480c-9e95-8b2ba30bd20a
"MIG Kotel, Sungurlare and Varbitsa: Sub-measure 7.5. ""Support for public use in leisure infrastructure, tourist information and small-scale tourist infrastructure"".",NA,"The project aims to support public use in leisure infrastructure, tourist information, and small-scale tourist infrastructure in the MIG Kotel, Sungurlare, and Varbitsa regions. The application deadline is September 22, 2023, at 17:30. The project is funded by the technical assistance fund and financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"- Diversify and improve the tourist infrastructure, attractions, and facilities for visitors to the territory.
- Preserve and promote the natural and cultural heritage of the territory.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/6271e283-cc1d-439e-84a3-b2eef41d771e
LAG Troyan Apriltsi Ugarchin_66 M 6.4.1,NA,"The project is titled ""LAG Troyan, Apriltsi, Ugarchin_66_ M 6.4.1. Investments in support of non-agricultural activities"" under measure 6.4.1. The objectives of the measure include supporting investment in non-agricultural activities, promoting employment and diversifying non-agricultural activities, supporting the development of green economy technologies, and promoting tourism development. The application deadline is 31.10.2023 at 16:30. More information and application documents can be found on the website http://www.migta.eu. The project is funded by The technical assistance fund, financed by the financial mechanism of the EEA and the Norwegian financial mechanism 2014-2021.",NA,NA,"The requirements of the project are as follows:

1. Supporting investment in non-agricultural activities for the development of competitiveness on the territory of the LAG.
2. Promoting investment activities to create employment and diversify non-agricultural activities.
3. Support the development of green economy technologies, including renewable energy for own consumption.
4. Financial support to help absorb the development potential of tourism combining natural and cultural values.

Additionally, the project has specific time limits for application submission, with a start date of 01.08.2023 at 12:00 and a deadline of 31.10.2023 at 16:30.",0,NA,https://eumis2020.government.bg//en/s/Procedure/Info/a4b5fa2f-3079-4a29-a55d-d2fba8c8cb6f
