name,status,description,start_date,end_date,requirements,funding,contact,url
Accompagner les apprenants vers la qualification et l'emploi,NA,"Cet appel à projet permanent FSE+ vise à accompagner les apprenants vers la qualification et l'emploi dans la région Hauts-de-France. Il fait partie du Programme Régional Hauts-de-France FEDER-FSE + – FTJ 2021-2027. L'objectif est d'améliorer la qualité, l'inclusion et l'efficacité des systèmes d'éducation et de formation, en favorisant l'apprentissage non formel et informel ainsi que les compétences entrepreneuriales et numériques. Les dispositifs d'apprentissage innovants doivent permettre une égalité d'accès à la formation tout au long de la vie pour tous les apprenants. Les structures éligibles comprennent les associations, les fédérations professionnelles, les centres de formation, les organismes de formation, les établissements d'enseignement supérieur, les missions locales, les collectivités territoriales, etc. Les bénéficiaires finaux sont les collégiens, les lycéens, les apprentis, les demandeurs d'emploi, les jeunes NEET, etc. Les opérations doivent commencer au plus tôt le 1er janvier 2023 et se terminer au plus tard le 31 décembre 2027. Les dossiers doivent être déposés sur le portail e-synergie.",NA,NA,"- Develop innovative learning programs to promote equal access to education and training
- Demonstrate added value for learners and economic development
- Adapt programs to the needs of vulnerable learners and their respective territories
- Collaborate with vocational training centers
- Target beneficiaries include students, apprentices, job seekers, and young people aged 15-29 who are not employed or in education or training
- Projects must start between January 1, 2023, and December 31, 2027, and have a maximum duration of 36 months
- Applications must be submitted through the e-synergie platform",NA,NA,https://europe-en-hautsdefrance.eu/fse
Renforcer les activités de pêche durables (1.1.1),NA,"L'appel à projets FEAMPA vise à renforcer les activités de pêche durable sur le plan économique, social et environnemental. Les objectifs incluent l'amélioration de la résilience et de la compétitivité du secteur de la pêche, le soutien au renouvellement des générations, le développement de son attractivité et de son image auprès du public, ainsi que la préservation de la ressource halieutique et la gestion des déchets. Les actions éligibles comprennent la modernisation, l'adaptation et la diversification des activités de pêche, le conseil et la formation, les investissements dans les ports de pêche, la recherche et l'innovation, ainsi que les actions collectives de partage de connaissance, de communication et de sensibilisation. Les bénéficiaires éligibles peuvent être des entreprises de pêche, des armateurs, des concessionnaires, des gestionnaires de halle à marée, des collectivités territoriales, des organisations professionnelles ou interprofessionnelles, des organisations scientifiques, des centres techniques et des associations.",NA,NA,"- Le projet vise à renforcer le secteur de la pêche durable.
- L'objectif est d'améliorer la résilience et la compétitivité du secteur, soutenir le renouvellement des générations et développer son attractivité.
- Les actions éligibles incluent la modernisation, l'adaptation et la diversification des activités de pêche, le conseil et la formation, les investissements dans les ports de pêche, la recherche et l'innovation, ainsi que les actions collectives de partage de connaissance, de communication et de sensibilisation.
- Pour l'objectif spécifique 1.1.2, les bénéficiaires éligibles sont les jeunes pêcheurs et les opérations à bord améliorant la sécurité, les conditions de travail et l'efficacité énergétique.
- Les bénéficiaires éligibles comprennent les entreprises de pêche, les armateurs, les concessionnaires, les gestionnaires de halle à marée, les collectivités territoriales et leurs groupements, les organisations professionnelles, les organisations scientifiques et les associations.",NA,NA,https://europe-en-hautsdefrance.eu/feampa-renforcer-les-activites-de-peche-durables-111
Investissement territorial intégré (ITI) 2021-2027,NA,"Le dispositif ITI (Investissement Territorial Intégré) vise à promouvoir le développement territorial intégré en permettant aux territoires sélectionnés de mettre en œuvre une stratégie de développement conforme aux objectifs de la politique de cohésion. Dans le cadre de la période 2021-2027, la Métropole Européenne de Lille et la Communauté d’Agglomération d’Amiens Métropole ont l'opportunité de soumettre leur stratégie de développement intégré au titre de l'ITI. Les territoires retenus devront justifier d'une stratégie territoriale intégrée et sélectionner une liste de projets à mettre en œuvre. Les opérations potentielles doivent avoir débuté au plus tôt le 1er janvier 2021 et être complétées au plus tard le 31 décembre 2027. Les dossiers de candidature doivent être déposés au plus tard le 17 avril 2023. Des critères d'élaboration sont disponibles ainsi que des fiches actions du Programme régional mobilisables dans le cadre de l'ITI. Les contacts et informations supplémentaires sont disponibles sur le site officiel. Ce projet est cofinancé par l'Union européenne.",NA,NA,"- Les collectivités (Communauté d’Agglomération d’Amiens Métropole et Métropole Européenne de Lille) doivent établir et transmettre leur stratégie de développement intégré au titre de l'ITI.
- Les territoires identifiés doivent déployer une stratégie de développement contribuant aux objectifs de la politique de cohésion.
- Les opérations potentielles identifiées doivent avoir démarré au plus tôt le 1er janvier 2021 et s’achever au plus tard le 31 décembre 2027.
- Le dossier de réponse doit être soumis au plus tard le 17 avril 2023.
- Les futurs organismes intermédiaires doivent respecter les critères d'élaboration de stratégies territoriales présentés.
- Les fiches actions du Programme régional peuvent être mobilisées dans le cadre du dispositif ITI.
- Le dossier de candidature doit être rempli avant le 17 avril 2023.",NA,NA,https://europe-en-hautsdefrance.eu/investissement-territorial-integre-2021-2027
Soutenir les événementiels,NA,"Cet appel à projet vise à soutenir la mise en place d'événements territoriaux dans les Hauts-de-France qui présentent les métiers, les formations et les différentes voies de formation aux jeunes et à leurs accompagnateurs. L'objectif est de valoriser les métiers qui recrutent, les métiers méconnus mais porteurs d'emploi, ainsi que les métiers en lien avec les besoins du territoire. Les bénéficiaires éligibles sont les associations, les fondations, les branches professionnelles, les CFA, les chambres consulaires, les organismes de formation, les établissements d'enseignement supérieur, les instituts et écoles de formations sanitaires et sociales, les missions locales, les collectivités territoriales et l'autorité académique. La période d'éligibilité est du 1er janvier 2021 au 31 décembre 2029 et la durée de réalisation de l'opération doit être comprise entre 12 et 36 mois. Les dossiers doivent être déposés sur le portail e-synergie.",NA,NA,"- Support the implementation of territorial events throughout the Hauts-de-France region.
- Target young people and their mentors.
- Present information about careers, training, and different pathways for education.
- Highlight in-demand, unknown, and difficult-to-recruit professions.
- Focus on professions related to the needs and major projects of the Hauts-de-France region.
- Promote active participation and engagement from the public.
- Available to associations, foundations, professional branches, training organizations, educational institutions, etc.
- Project duration should be between 12 and 36 months.
- Eligible operations should take place between January 1, 2021, and December 31, 2029.
- Applications must be submitted through the e-synergie portal.
- Contact the FSE+ service for more information.",NA,NA,https://europe-en-hautsdefrance.eu/fse-appel-a-projets-soutenir-les-evenementiels
Appel à projets 2023-2027 Parcours de réussite.,NA,"L'appel à projets vise à repérer et proposer aux jeunes NEET des Hauts-de-France un parcours de réussite vers une insertion professionnelle durable. Il s'agit de mettre en place des modalités de parcours individualisées pour accompagner ces jeunes vers et dans l'emploi. Les projets retenus devront proposer un diagnostic de la situation des jeunes au début et à la fin du dispositif, un accompagnement social et professionnel personnalisé, des possibilités d'immersion professionnelle et de découvertes des métiers, ainsi qu'un suivi post-parcours sur 4 mois. Les structures porteuses du projet peuvent être des CFA, des chambres consulaires, des associations, des missions locales, des collectivités territoriales, etc. Les opérations doivent démarrer au plus tôt le 1er janvier 2023 et s'achever au plus tard le 31 décembre 2027. Les dossiers doivent être déposés sur le portail e-synergie.",NA,NA,"- The objective is to propose a path to successful professional integration for young NEET individuals in Hauts-de-France.
- The target audience is young NEET individuals aged 16 to under 30 residing in the regional territory.
- The aim is to provide personalized social and professional support, opportunities for professional immersion and career exploration, and a post-path follow-up to prevent disruptions after the program.
- The project can include an additional action of identifying and finding eligible young individuals.",NA,NA,https://europe-en-hautsdefrance.eu/fse-appel-a-projets-2023-2027-accompagnement-vers-la-qualification-et-lemploi
FEADER - Appel à projets 2023 Agroenvironnement,NA,"Cet appel à projets vise à soutenir les investissements dans les pratiques agro-écologiques afin de réduire les impacts environnementaux et climatiques. Les actions éligibles comprennent la protection de la biodiversité, la réduction de l'utilisation de produits chimiques, l'utilisation de méthodes biologiques de lutte contre les bioagresseurs, la gestion de la fertilisation, l'autonomie alimentaire des animaux, l'économie d'énergie et d'eau, la préservation des sols, la réduction des émissions de gaz à effet de serre et la maîtrise de la pollution des eaux. Les exploitants agricoles individuels, les personnes morales liées à des activités agricoles, les établissements de recherche agricole, les associations et coopératives agricoles, ainsi que les collectivités territoriales et les propriétaires privés sont éligibles. Un montant de 6 millions d'euros est prévu pour cet appel à projets en 2023. Les demandes peuvent être déposées en ligne sur la plateforme EUROPAC.",NA,NA,"- Les projets doivent soutenir les pratiques agro-écologiques.
- Les projets doivent viser la réduction des impacts agro-environnementaux et climatiques.
- Les actions éligibles comprennent la protection de la biodiversité fonctionnelle, la réduction de l'utilisation de produits chimiques, l'utilisation de méthodes biologiques et physiques de lutte contre les bioagresseurs, une gestion pertinente de la fertilisation, l'auto-suffisance alimentaire des animaux, l'économie d'énergie et d'eau, la préservation du sol, la réduction des émissions de gaz, et la maîtrise des risques de pollution.
- Les structures éligibles comprennent les exploitants agricoles, les personnes morales liées à une activité agricole, les établissements de développement et de recherche agricole, les associations agricoles, les coopératives agricoles, les collectivités territoriales et les propriétaires privés et gestionnaires privés.
- Le siège social du demandeur doit être situé dans les Hauts-de-France.
- Un montant prévisionnel de 6 millions d'euros est alloué pour cet appel à projets.
- La demande simplifiée peut être déposée en ligne avant la mise en ligne de la plateforme EUROPAC.
- Les demandeurs peuvent utiliser les postes de travail mis à disposition par la Région dans les chefs-lieux des départements s'ils n'ont pas accès à internet ou à un matériel informatique adapté.
- L'appel à projets est ouvert du 15 juin 2023 au 14 décembre 2023.",6,NA,https://europe-en-hautsdefrance.eu/feader-appel-a-projets-2023-agroenvironnement
FSE+ - Accompagner les apprenants vers la qualification et l'emploi,NA,"Cet appel à projet permanent FSE+ vise à soutenir des dispositifs d'apprentissage innovants pour une égalité d'accès à la formation tout au long de la vie dans la région Hauts-de-France. Il s'inscrit dans le Programme Régional Hauts-de-France FEDER-FSE + – FTJ 2021-2027, avec pour objectif spécifique d'améliorer la qualité, l'inclusion et l'efficacité des systèmes d'éducation et de formation, ainsi que leur adéquation au marché du travail. Les actions doivent favoriser l'acquisition de compétences clés et promouvoir la formation en alternance. Les structures éligibles comprennent les associations, les organismes de formation, les établissements d'enseignement supérieur, les collectivités territoriales, etc. Les bénéficiaires finaux sont les collégiens, lycéens, apprentis, demandeurs d'emploi, etc. Les dossiers doivent être déposés sur le portail e-synergie et les opérations doivent démarrer entre le 1er janvier 2023 et le 31 décembre 2027.",NA,NA,"- The project aims to develop innovative learning devices to ensure equal access to lifelong learning for all learners in the Hauts-de-France region.
- The actions should demonstrate value-added for learners and contribute to the economic development of the territory.
- The actions should be adapted to the needs of the most vulnerable learners and should include cooperation with campus and qualifications centers.
- Eligible structures include associations, foundations, professional branches, training centers, chambers of commerce, educational institutions, social and health training institutes, local authorities, and academic authorities.
- The final beneficiaries are middle school and high school students, apprentices, trainees in vocational training, students in health and social training, unemployed individuals, alternates and candidates for alternation, and NEET (Not in Education, Employment, or Training) youth aged 15 to 29.
- The projects must be submitted through the e-synergie portal and a contact with the FSE+ instructing service is recommended.
- The operations must start no earlier than January 1, 2023, and end no later than December 31, 2027. The maximum duration of the operations is 36 months.
- The selection of operations will be based on the availability of funds.",NA,NA,https://europe-en-hautsdefrance.eu/fse
FEAMPA: Renforcer les activités de pêche durables (1.1.1),NA,"Le projet FEAMPA vise à renforcer les activités de pêche durables, tant sur le plan économique que social et environnemental. Il comprend des actions telles que la modernisation et la diversification des activités de pêche, le conseil et la formation, les investissements dans les ports de pêche, la recherche et l'innovation, ainsi que des actions de sensibilisation et de communication. Les bénéficiaires éligibles incluent les entreprises de pêche, les armateurs, les concessionnaires et gestionnaires de ports de pêche, les collectivités territoriales, les organisations professionnelles et scientifiques. Pour plus d'informations, consultez le document de mise en œuvre FEAMPA.",NA,NA,"- Renforcer les activités de pêche durable sur le plan économique, social et environnemental.
- Améliorer la résilience et la compétitivité du secteur pêche.
- Soutenir le renouvellement des générations dans le secteur.
- Développer l'attractivité et l'image du secteur auprès du public.
- Préserver la ressource halieutique et agir sur les déchets.
- Moderniser, adapter et diversifier les activités de pêche.
- Fournir du conseil et de la formation.
- Investir dans les ports de pêche.
- Promouvoir la recherche et l'innovation.
- Encourager les actions collectives de partage de connaissance, de communication et de sensibilisation.
- Favoriser l'installation de jeunes pêcheurs.
- Améliorer la sécurité, les conditions de travail et l'efficacité énergétique des opérations à bord entraînant une augmentation du tonnage brut.",NA,NA,https://europe-en-hautsdefrance.eu/feampa-renforcer-les-activites-de-peche-durables-111
Investissement Territorial Intégré (ITI) 2021-2027,NA,"ITI (Investissement Territorial Intégré) is an integrated territorial development program for the period 2021-2027. The program aims to support the development of specific territories and achieve the objectives of cohesion policy. The program requires the establishment and submission of an integrated development strategy by eligible authorities, such as the European Metropolis of Lille and the Amiens Metropolitan Community. This strategy will guide the implementation of selected projects. The eligible beneficiaries for the program are the Amiens Metropolitan Community and the European Metropolis of Lille. The objective of the program is to contribute to integrated and sustainable social, economic, and environmental development in urban areas. The deadline for submitting the strategy is April 17, 2023. The projects identified for the program should have started no earlier than January 1, 2021, and must be completed by December 31, 2027. The application can be submitted electronically or by post. Annexes containing information and requirements for the application process, as well as the criteria for the development of the territorial strategies, are available for download on the website.",NA,NA,"- Les territoires doivent établir et transmettre leur stratégie de développement intégré au titre de l'ITI.
- Les territoires doivent déployer cette stratégie de développement jusqu'en 2027.
- Les territoires doivent contribuer directement à l'atteinte des objectifs de la politique de cohésion.
- Les collectivités doivent justifier d'une stratégie territoriale intégrée.
- Les futurs organismes intermédiaires doivent soumettre leur stratégie en respectant les critères d'élaboration.
- Les opérations potentielles identifiées doivent avoir démarré au plus tôt le 1er janvier 2021 et s'achever au plus tard le 31 décembre 2027.
- Le dossier de réponse doit être transmis au plus tard le 17 avril 2023.",NA,NA,https://europe-en-hautsdefrance.eu/investissement-territorial-integre-2021-2027
"""Appel à projets Soutenir les événementiels""",NA,"Cet appel à projet vise à soutenir les événements territoriaux dans le domaine de l'orientation et de l'information des métiers. Il vise à valoriser les métiers qui recrutent, promouvoir les métiers méconnus mais porteurs d'emploi et favoriser les échanges avec le public. Les bénéficiaires de cet appel à projets sont les associations, les fondations, les branches professionnelles, les CFA, les chambres consulaires, les organismes de formation, les établissements d'enseignement supérieur, les instituts et écoles de formations sanitaires et sociales, les missions locales, les collectivités territoriales, le conseil régional Hauts-de-France, les établissements publics et les autorités académiques. La période d'éligibilité est du 1er janvier 2021 au 31 décembre 2029 et la durée de réalisation de l'opération doit être comprise entre 12 et 36 mois. Les dossiers doivent être déposés sur le portail e-synergie.",NA,NA,"- Soutenir la mise en place d'événements territoriaux sur l'ensemble des Hauts-de-France
- Les événements doivent être destinés aux jeunes et à leurs accompagnateurs
- Présenter les métiers, les formations et les différentes voies de formation
- Valoriser les métiers qui recrutent ou en tension, les métiers méconnus mais porteurs d'emploi, les métiers en difficulté de recrutement, les métiers en lien avec les besoins du territoire et les grands chantiers des Hauts-de-France
- Soutenir les projets favorisant les échanges avec le public et la participation active
- Les bénéficiaires peuvent être des associations, des fondations, des branches professionnelles, des CFA, des chambres consulaires, des organismes de formation, des établissements d'enseignement supérieur publics et privés, des instituts et écoles de formations sanitaires et sociales, des missions locales, des collectivités territoriales et EPCI, le conseil régional Hauts-de-France, les établissements publics et GIP, les autorités académiques
- La période d'éligibilité est du 1er janvier 2021 au 31 décembre 2029
- La durée de réalisation de l'opération doit être d'au moins 12 mois et ne doit pas dépasser 36 mois
- Les dossiers se font via le portail e-synergie
- Il est recommandé de prendre contact avec le service instructeur FSE+ pour faciliter l'instruction des dossiers
- Un webinaire de présentation a eu lieu le 30 mai et le lien du replay peut être obtenu en contactant le service FSE+",NA,NA,https://europe-en-hautsdefrance.eu/fse-appel-a-projets-soutenir-les-evenementiels
