name,status,description,start_date,end_date,requirements,funding,contact,url
Partenariat Villes d’égalité de l’Agenda urbain pour l’Union européenne,open,"Cet appel à manifestation d'intérêt vise à établir un nouveau partenariat dans le cadre de l'Agenda urbain pour l'Union européenne sur les villes d'égalité. Il s'agit de traiter les questions spécifiques liées à l'égalité dans les villes et de créer des environnements propices à l'égalité en prenant en compte les divers besoins de tous les individus et groupes sociaux. Les partenaires seront impliqués dans l'analyse des thèmes sélectionnés et dans le développement d'actions concrètes pour atteindre l'égalité dans les villes. Ils devront contribuer activement aux réunions du partenariat et s'engager financièrement et en temps pendant la durée des travaux. Les avantages incluent la possibilité d'améliorer la politique, le financement et les connaissances de l'UE sur les villes d'égalité, de rejoindre un réseau d'organisations partageant les mêmes valeurs et d'élargir le réseau des partenariats de l'UE sur les dimensions urbaines des politiques de l'UE. Les candidatures doivent être soumises avant le 29 septembre 2023.",NA,29 September 2023,"1. La manifestation d'intérêt vise à établir un partenariat dans le cadre de l'Agenda urbain pour l'Union européenne sur les villes d'égalité.
2. Les villes d'égalité sont celles qui prennent en compte les divers besoins de tous les individus et groupes sociaux, en offrant des chances égales à tous.
3. Le partenariat vise à traiter les questions liées à l'égalité dans les villes, en mettant en œuvre des approches globales et inclusives.
4. Les futurs partenaires doivent contribuer activement aux réunions du partenariat, formuler des actions concrètes et les mettre en œuvre.
5. L'adhésion au partenariat nécessite un engagement en temps et en ressources, y compris des déplacements pour se rendre aux réunions.
6. Les critères de sélection incluent la motivation à devenir partenaire, l'expertise dans le domaine des villes d'égalité, l'ouverture aux parties prenantes et la volonté de participer avec ses propres ressources.
7. Le partenariat cherche une approche multi-niveaux et multi-parties prenantes, ainsi qu'un équilibre géographique et une diversité des types de régions géographiques et économiques représentées.
8. Les autorités urbaines, les régions, les États partenaires, les consortiums de villes et les organisations nationales de coordination des villes peuvent répondre à cet appel, ainsi que les autres parties prenantes.
9. Les candidatures doivent être soumises avant le 29 septembre 2023 à 18h00 (CET) via le lien spécifié.",NA,luc.faraldi@anct.gouv.fr and Mathieu.COPERE@anct.gouv.fr,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/ami-lancement-du-partenariat-villes-degalite-de-lagenda-urbain-pour-lunion
Partenariat Alimentation de l’Agenda urbain pour l’Union européenne,open,"This call for partners aims to select suitable and motivated partners for the thematic partnership of the Urban Agenda for the EU on food. The objective of the partnership is to coordinate and collaborate between existing initiatives at the European level to drive transformative changes in food systems and position cities as catalysts for this change. The partnership will focus on key themes such as agroecology, food justice, access to land, and public land management. Partners will actively participate in the analysis and development of selected themes and sub-themes, as well as contribute to the implementation of concrete actions at the EU, national, and city levels. The partnership aims to contribute to a systemic transformation within the EU and to broader goals such as the European Green Deal and the United Nations Sustainable Development Goals. The call for partners is open until September 29, 2023.",NA,29 September 2023,"- The objective of the partnership is to prioritize the role of cities in transforming food systems.
- The partnership should address key themes such as agroecology, food justice, access to land, and management of public lands.
- The partnership should emphasize the importance of localizing food systems, integrating external costs of food production into prices, and encouraging public procurement of local and organic food.
- Participation in the partnership requires contributing to the development of the food theme and the implementation of the partnership.
- Responsibilities include actively participating in partnership meetings, contributing to specific themes, formulating concrete actions, and implementing actions.
- Resources needed include time commitment, travel to meetings, and specialized staff.
- Benefits include contributing to policy improvement and networking with organizations at the European level.
- The selection criteria include motivation, expertise, stakeholder awareness, and willingness to contribute resources.",NA,"Luc Faraldi
luc.faraldi@anct.gouv.fr

Mathieu Copère 
Mathieu.COPERE@anct.gouv.fr",https://www.europe-en-france.gouv.fr//fr/appels-a-projet/ami-lancement-du-partenariat-alimentation-de-lagenda-urbain-pour-lunion-europeenne
Développer des solutions innovantes nécessaires à la transformation du système alimentaire,open,"La Commission européenne lance un appel à projets visant à développer des solutions innovantes pour la transformation du système alimentaire. Le budget total pour ces projets est de 60 millions d'euros, répartis entre différents domaines d'intervention. Les projets éligibles peuvent être des actions de recherche et d'innovation, des projets pilotes, des démonstrations, ou des actions de coordination et de soutien. Les thématiques abordées vont de la promotion de modes de consommation durables à l'utilisation de données météorologiques par satellite pour soutenir le Green Deal européen. Les candidatures doivent être directement reliées à l'un des topics spécifiés dans l'appel à projets.",17 October 2023,28 February 2024,"- Développer des solutions innovantes pour la transformation du système alimentaire
- Activités supplémentaires pour le partenariat européen pour une économie bleue neutre du point de vue climatique, durable et productive
- Écosystèmes régionaux d'innovation pour favoriser la transformation du système alimentaire
- Le rôle des médias et du marketing dans la promotion de modes de consommation sains et durables
- Soutien à l'Alliance atlantique pour la recherche et l'innovation dans le domaine des océans
- Personnalisation/pré-opérationnalisation de prototypes de services pour l'adaptation au changement climatique et l'atténuation de ses effets
- Développer des applications innovantes pour soutenir le Green Deal européen, en utilisant des données météorologiques par satellite
- Améliorer les conditions de travail et renforcer la force de travail grâce aux technologies numériques et de données dans l'agriculture
- Élargir les résultats des groupes opérationnels du PEI au-delà des frontières en utilisant des réseaux thématiques
- Réseaux thématiques pour compiler et partager les connaissances prêtes à l'emploi dans divers domaines tels que l'agriculture biologique, la biodiversité, la sylviculture et les systèmes d'élevage durables.",60,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/developper-des-solutions-innovantes-necessaires-la-transformation-du-systeme
"Promouvoir une collaboration internationale, intersectorielle et interdisciplinaire innovante dans le domaine de la recherche et de l'innovation",NA,"Horizon Europe - MSCA Staff Exchanges 2023 aims to promote international, intersectoral and interdisciplinary collaboration in the field of research and innovation through the exchange of personnel and the sharing of knowledge and ideas at all stages of the innovation chain.",NA,NA,"- Promote international, intersectoral, and interdisciplinary collaboration in the field of research and innovation.
- Exchange of personnel and sharing of knowledge and ideas throughout the innovation chain.
- Eligible projects: RIA, IA, CSA, MSCA.
- Relevance to a specific topic of a call for proposals.
- Collaborative projects with a coordinator and partners, mono-beneficiary projects, or individual fellowships.
- Applicants can be organizations, individuals, or researchers.",785,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/promouvoir-une-collaboration-internationale-intersectorielle-et-interdisciplinaire
"Développer un cloud scientifique européen opérationnel, ouvert et équitable",open,"L'Union européenne lance un appel à projet pour développer un cloud scientifique européen opérationnel, ouvert et équitable dans le cadre du programme Horizon Europe. Le projet vise à mettre en place un réseau de dépôts fédérés et fiables pour l'EOSC (European Open Science Cloud) et à améliorer les services génériques et spécifiques aux disciplines pour les données de recherche. Le budget détaillé pour chaque topic est mentionné, allant de 4 millions à 28 millions d'euros. Différentes catégories de projets sont éligibles, telles que les actions de recherche et d'innovation, les actions d'innovation, les actions de coordination et de soutien, et les bourses individuelles. Les bénéficiaires attendus sont les projets collaboratifs, les projets mono-bénéficiaires et les bourses individuelles.",NA,12 March 2024,"- Develop an operational, open and equitable European scientific cloud
- Set up a network of federated and reliable EOSC repositories
- Improve the framework for generic and discipline-specific services for research data and other digital objects
- Allocate funding to different topics within the project
- Eligible project categories include RIA, IA, CSA, and MSCA
- Expected beneficiaries include collaborative projects, single-beneficiary projects, and individual fellowships
- Some of the specific topics include innovation services for EOSC Exchange, supporting the EOSC partnership, developing long-term access and preservation infrastructure for EOSC, sharing FAIR and open data for climate change adaptation, and establishing a network of federated and reliable repositories for EOSC.",2848165,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/developper-un-cloud-scientifique-europeen-operationnel-ouvert-et-equitable
"Développer, consolider et optimiser le paysage européen des infrastructures de recherche",open,"Développer, consolider et optimiser le paysage européen des infrastructures de recherche en soutenant le renforcement, la durabilité à long terme, la réorientation ou l'évolution des points de repère de l'ESFRI ou d'autres consortiums d'infrastructures de recherche européennes.",NA,12 March 2024,"- Develop, consolidate, and optimize the European landscape of research infrastructures.
- Support the strengthening, long-term sustainability, reorientation, or evolution of ESFRI or other European research infrastructure consortia.
- Budget allocation: 
   - HORIZON-INFRA-2024-DEV-01-01: 14 million euros
   - HORIZON-INFRA-2024-DEV-01-02: 1.5 million euros
   - HORIZON-INFRA-2024-DEV-01-03: 8 million euros
- Different project categories are eligible, including research and innovation actions, innovation actions, coordination and support actions, Marie Skłodowska-Curie Actions, and ERC scholarships.
- Expected beneficiaries include collaborative projects, mono-beneficiary projects, and individual scholarships.
- Specific topics include the development of research infrastructure concepts, strengthening bilateral cooperation with Africa, and the consolidation of the European research infrastructure landscape.",14,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/developper-consolider-et-optimiser-le-paysage-europeen-des-infrastructures-de
L'Open Source pour le Cloud/Edge au service de l'autonomie numérique européenne,open,"The project aims to strengthen the competitiveness of digital technologies in the European Union. It is part of the Horizon Europe program and focuses on digital and emerging technologies for competitiveness. The project has several topics, each with a specific budget allocation. The project is open to different types of projects, including research and innovation actions, innovation actions, coordination and support actions, and Marie Skłodowska-Curie actions. The project has various topics, including open-source technologies for the cloud/edge, public recognition of open source, pilot lines for 2D material-based devices, synergy with national and regional initiatives, transnational research and development of next-generation quantum technologies, and quantum detection and metrology for market adoption.",NA,19 March 2024,"- Renforcer la compétitivité des technologies numériques
- Être relié à un topic d'un appel à propositions
- Être éligible en tant que RIA (Research and Innovation Actions), IA (Innovation Actions), CSA (Coordination and Support Actions) ou MSCA (Marie Skłodowska-Curie Actions / Bourses ERC)
- Les projets collaboratifs et mono-bénéficiaires sont acceptés, ainsi que les bourses individuelles
- Les détails des topics sont disponibles et incluent des sujets tels que l'open source pour le Cloud/Edge, la reconnaissance publique de l'Open Source, les dispositifs à base de matériaux 2D, la synergie avec les initiatives nationales et régionales en Europe, la recherche et le développement transnationaux des technologies quantiques de prochaine génération, et la détection et métrologie quantiques pour l'adoption par le marché.",20,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/renforcer-la-competitivite-des-technologies-numeriques
Développer des technologies numériques et émergentes pour la compétitivité en adéquation avec le Pacte Vert,open,"Le projet consiste à développer des technologies numériques et émergentes en adéquation avec le Pacte Vert pour renforcer la compétitivité. Il s'inscrit dans le cadre du programme Horizon Europe de l'Union européenne et vise à réaliser des avancées majeures dans le domaine de la science et de la technologie, en contribuant notamment à relever les défis sociétaux liés à l'environnement. Le budget total varie selon les topics, allant de 13,5 millions d'euros à 60 millions d'euros. Différentes catégories de projets sont éligibles, comprenant la recherche, le développement et l'adoption de technologies, les tests et démonstrations, ainsi que des actions de coordination et de soutien. Les bénéficiaires peuvent être des projets collaboratifs, des projets mono-bénéficiaires ou des individus bénéficiant de bourses.",NA,19 March 2024,"- Develop digital and emerging technologies in line with the Green Deal
- Realize and exploit major advances in science and technology
- Maintain Europe's scientific excellence
- Guarantee the sovereignty of key technologies
- Address major societal challenges related to the environment
- Budget allocation for different topics
- Eligible project categories: Research and Innovation Actions, Innovation Actions, Coordination and Support Actions, Marie Skłodowska-Curie Actions
- Expected beneficiaries: collaborative projects, single-beneficiary projects, individual scholarships
- Specific topics and partnerships for each topic",NaN,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/developper-des-technologies-numeriques-et-emergentes-pour-la-competitivite-en
Développer des technologies de pointe en matière de données et de calcul.,open,"L'appel à projet concerne le développement de technologies de pointe en matière de données et de calcul dans le cadre du programme Horizon Europe. Il vise à soutenir des projets de recherche, d'innovation et de validation de prototypes dans les domaines de la conformité et de l'exploitation des données pilotées par l'IA, des plateformes intelligentes émergentes et de l'intelligence décentralisée, ainsi que de la création d'une plateforme pour la normalisation et la mise en œuvre des solutions ""Cloud-Edge-IoT"". Les financements alloués varient selon les topics, avec une enveloppe totale de 85 millions d'euros pour ces trois topics. Différentes catégories de projets sont éligibles, notamment les actions de recherche et d'innovation, les actions d'innovation, les actions de coordination et de soutien, ainsi que les bourses individuelles. Les projets peuvent être menés en collaboration avec d'autres partenaires ou être portés par une seule organisation.",NA,19 March 2024,"- The project aims to develop advanced technologies in the field of data and computing.
- The project is part of the Horizon Europe program.
- The project has a budget of 38 million euros for one topic, 45 million euros for another topic, and 2 million euros for a third topic.
- Different types of projects are eligible, including Research and Innovation Actions, Innovation Actions, Coordination and Support Actions, and Marie Skłodowska-Curie Actions.
- The project can be carried out by a consortium of partners or by a single organization.
- The project focuses on specific topics related to data compliance and exploitation driven by AI, driving emerging intelligent platforms and decentralized intelligence, and creating a platform for the implementation of Cloud-Edge-IoT solutions.",38452,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/developper-des-technologies-de-pointe-en-matiere-de-donnees-et-de-calcul
Développement éthique et centré sur l'homme des technologies numériques et industrielles,open,"L'appel à projet vise à favoriser le développement éthique et centré sur l'homme des technologies numériques et industrielles dans le cadre du programme Horizon Europe. Différents topics sont proposés, tels que l'IA explicable et robuste, l'intelligence collaborative et le soutien aux activités transnationales dans les domaines du numérique, de l'industrie et de l'espace. Le budget alloué varie en fonction des topics. Différentes catégories de projets sont éligibles, telles que la recherche basique et appliquée, le développement et l'adoption de technologies, les actions d'innovation, la coordination et le soutien, ainsi que les bourses individuelles.",15 November 2023,19 March 2024,"- Favoriser le développement éthique et centré sur l'homme des technologies numériques et industrielles
- Développer des technologies numériques et industrielles qui démontrent la valeur de la collaboration homme-machine
- Le projet doit être lié à l'un des topics spécifiés dans l'appel à propositions
- Différentes catégories de projets sont éligibles : RIA, IA, CSA, MSCA
- Les bénéficiaires attendus sont des projets collaboratifs, des projets mono-bénéficiaires ou des bourses individuelles
- Les topics spécifiques incluent l'IA explicable et robuste, l'intelligence collaborative, le soutien aux activités transnationales et la facilitation de l'engagement dans la normalisation mondiale des TIC.",30,NA,https://www.europe-en-france.gouv.fr//fr/appels-a-projet/favoriser-le-developpement-ethique-et-centre-sur-lhomme-des-technologies-numeriques
