name,status,description,start_date,end_date,requirements,funding,contact,url
"Animation des sites Natura 2000 : Préservation et restauration du patrimoine naturel et forestier, dont les sites Natura 2000",open,"Cet appel à projets vise à financer la préservation et la restauration du patrimoine naturel et forestier, notamment des sites Natura 2000. Les actions concernées incluent l'information et la sensibilisation des propriétaires et gestionnaires d'espaces, du grand public et des groupes scolaires, ainsi que le soutien technique pour la mise en œuvre de mesures contractuelles et non contractuelles. L'objectif est de mettre en place les Plans de gestion des sites Natura 2000 à travers des actions d'animation conformes à l'article L. 414-2 du code de l'environnement. Les bénéficiaires potentiels sont les structures désignées par le comité de pilotage du site Natura 2000 et les Parcs nationaux, dans la région Provence-Alpes-Côte d'Azur. Le dépôt des dossiers de demande d'aide doit se faire sur la plateforme dématérialisée euro-pac. Le montant total de l'appel est de 500 000 € et la date de clôture est le 30 septembre 2023.",03 July 2023,30 September 2023,"- Financement d'actions d'animation pour la mise en œuvre des DOCOB des sites Natura 2000
- Actions d'information, de sensibilisation et de communication auprès des propriétaires, du grand public et des groupes scolaires
- Démarchage auprès des propriétaires pour la mise en œuvre des mesures contractuelles et non contractuelles
- Appui technique aux bénéficiaires pour le montage de contrats
- Suivi de la mise en œuvre du DOCOB et évaluation de la nécessité de mise à jour
- Conduite d'études, d'inventaires et de suivis scientifiques",500000,NA,https://europe.maregionsud.fr//projets/detail/animation-des-sites-natura-2000-intervention-7304a-preservation-et-restauration-du-patrimoine-naturel-et-forestier-dont-les-sites-natura-2000-1
Soutenir l’installation de médecins dans les déserts médicaux,open,Cet appel à projets vise à soutenir l'installation de médecins dans les déserts médicaux. Il prévoit le financement de bourses de stages à destination des étudiants en médecine générale inscrits dans certaines facultés dans les territoires éligibles de la région Provence-Alpes-Côte d'Azur.,30 June 2023,20 October 2023,"- The project aims to support the installation of doctors in medical deserts.
- The funding is intended for grants for internships for medical students in socially disadvantaged and under-served areas.
- The beneficiaries of the project can be public organizations.
- The eligible operations must take place physically in the Provence-Alpes-Côte d'Azur region.
- The co-financing from the European Union will only cover internships in general medicine in identified territories with a social disadvantage index of level 3, 4, or 5.
- The total amount of the call for projects is 1,500,000 €.
- The opening date for submissions is 30/06/2023, and the closing date is 20/10/2023.
- The procedure for submitting projects can be found on page 11 of the call for projects.",1500000,NA,https://europe.maregionsud.fr//projets/detail/soutenir-linstallation-de-medecins-dans-les-deserts-medicaux
Soutien au tourisme diversifié et durable dans le Massif Alpin,open,"Cet appel à projets vise à soutenir la diversification et la durabilité du tourisme dans le Massif Alpin. Il vise à accompagner les territoires du Massif Alpin dans leur transition climatique, énergétique et socio-économique en soutenant la mise en œuvre de leur stratégie de diversification touristique et la construction de nouvelles offres touristiques durables. L'appel vise également à renforcer l'offre d'itinérance à l'échelle du massif en favorisant la rénovation des refuges de montagne. Les bénéficiaires potentiels de cet appel sont les collectivités territoriales, les Parcs Naturels régionaux, les établissements publics, les associations, les entreprises privées, les entreprises publiques locales et les syndicats mixtes. Les opérations prévues dans le projet doivent être réalisées dans le territoire du Massif des Alpes. L'appel dispose d'un budget total de 3 000 000€ et les dates de clôture sont le 12 octobre 2023 et le 30 janvier 2024.",09 June 2023,30 January 2024,"- Accompanying the climate, energy, and socio-economic transitions of the territories in the Alpine Massif.
- Supporting the implementation of the territories' tourism diversification strategy.
- Constructing new sustainable tourist offerings that are accessible to all and promote the renewal of customer bases.
- Promoting sustainable tourism through the valorization of natural and cultural heritage.
- Enhancing the itinerant offer in the Massif through the renovation of mountain refuges.
- Projects must be carried out within the territory of the Alpine Massif.
- The total amount of the call is €3,000,000.
- The deadline for submissions is October 12, 2023, and January 30, 2024.",3000000,NA,https://europe.maregionsud.fr//projets/detail/soutien-au-tourisme-diversifie-et-durable-dans-le-massif-alpin
Soutien à l'accessibilité et aux éco-mobilités touristiques et de loisirs dans le massif alpin.,open,"The call for projects aims to support eco-mobility projects for tourism, leisure, and everyday purposes, in line with strategies developed by valley areas. The focus is on sustainable approaches, better management of tourist flows, promoting sustainable mobility practices, and offering a more gentle discovery of the region's treasures. Eligible beneficiaries include territorial communities, regional nature parks, national parks, inter-municipal cooperation bodies, associations, and local public enterprises. The projects must be carried out within the territory of the Alps Massif. The total funding available for this call is 1,500,000 €. The opening date is 09/06/2023, and the closing date is 19/10/2023.",09 June 2023,19 October 2023,"- Develop eco-mobility for tourism, leisure, and daily purposes
- Support projects related to eco-mobility that are in line with strategies developed by valley areas
- Eco-mobility can be seen as both a means of transportation to tourist sites and as a tourist product and experience in itself
- Provide original experiences while meeting the expectations of tourists to improve or renew the image and attractiveness of a given territory
- Eligible beneficiaries include local authorities, regional natural parks, national parks, public establishments, intermunicipal cooperation public establishments, mixed unions, associations, and local public enterprises
- Projects must be carried out within the territory of the Massif des Alpes
- Total budget for the call: €1,500,000
- Opening date: 09/06/2023
- Closing date: 19/10/2023",1500000,"Contact:
Email: sdti@maregionsud.fr",https://europe.maregionsud.fr//projets/detail/soutien-a-laccessibilite-et-aux-eco-mobilites-touristiques-et-de-loisirs-dans-le-massif-alpin
Améliorer l’accès à l’emploi en soutenant l’entrepreneuriat,open,"This call for projects aims to improve access to employment by supporting entrepreneurship. It focuses on supporting the creation, takeover, and transmission of businesses, as well as providing training, networking, and financial assistance to entrepreneurs. The call also prioritizes the professionalization and coordination of support structures for entrepreneurs, with a particular emphasis on social and inclusive entrepreneurship. It encourages actions that promote gender equality, diversity, and sustainable development. The call complements an existing regional project called ""Mon Projet d'Entreprise"" and is open to selected structures and local authorities in the Provence-Alpes-Côte d’Azur region. The total budget for the call is €10,000,000, and the application period is from April 28, 2023, to October 31, 2023.",28 April 2023,31 October 2023,"- The objective of the project is to improve access to employment by supporting entrepreneurship.
- The project should provide support and training for the creation or takeover of businesses.
- Support for business sellers through individual or collective support, connecting them with potential buyers, creating innovative tools or organizing dedicated events.
- Professionalization, animation, and coordination of support actors through workshops, training, and development of digital and environmental transition.
- Attention should be given to actions in the social and solidarity economy (ESS), as well as actions targeting vulnerable territories such as QPV and rural areas.
- Attention should also be given to projects promoting gender equality, diversity, the fight against discrimination, and incorporating sustainable development principles.
- The project should be complementary to the call for projects ""Mon Projet d'Entreprise"" 2022-2024 from the Provence-Alpes-Côte d'Azur Regional Council.
- The project should be implemented physically in the Provence-Alpes-Côte d'Azur region.
- The total budget for the call is 10,000,000 euros.
- The submission deadline is October 31, 2023.",10000000,NA,https://europe.maregionsud.fr//projets/detail/ameliorer-lacces-a-lemploi-en-soutenant-lentrepreneuriat-1
Restaurer les continuités écologiques pour maintenir la biodiversité et ses fonctionnalités,open,"Cet appel à projets vise à restaurer les continuités écologiques afin de maintenir la biodiversité et ses fonctionnalités. L'objectif est de réduire la fragmentation des habitats, permettre la libre circulation des espèces et réduire la pression des usages pour assurer un bon état des milieux. Les bénéficiaires éligibles sont les organismes publics, les gestionnaires d'espaces naturels, les associations et les entreprises. Le dépôt des demandes de subvention se fait en ligne sur le portail e-Synergie. L'appel est ouvert du 26/04/2023 au 28/09/2023, et le montant total de l'appel est de 15 000 000 €.",26 April 2023,28 September 2023,"- Objectives:
   - Restore ecological continuity to maintain the conservation of natural habitats.
   - Enable animal and plant species to move and develop to ensure their life cycle and promote their adaptability.
   - Reduce habitat fragmentation, allow species to move freely, and reduce the pressure of usage to maintain the health of the environment and its functionalities.

- Eligible beneficiaries:
   - Public organizations
   - Natural space managers
   - Associations
   - Companies

- Funding: €15,000,000

- Eligibility: Projects can be implemented in the Provence-Alpes-Côte d’Azur region or benefit the regional territory.

- Project actions include:
   - Restoration of ecological corridors and biodiversity reservoirs.
   - Making infrastructure and other obstacles transparent to species movement and their life cycle.
   - Reducing usage pressures and disturbances on species and habitats.

- Call for projects opens on April 26, 2023, and closes on September 28, 2023.",15000000,NA,https://europe.maregionsud.fr//projets/detail/restaurer-les-continuites-ecologiques-pour-maintenir-la-biodiversite-et-ses-fonctionnalites
Accroître l’offre certifiée du bois d’œuvre alpin transformé localement,open,"This call for projects aims to increase the certified supply of locally processed Alpine timber. It aims to support companies in the Bois des Alpes certification process and help them meet the growing demand for locally processed wood products in the construction sector. The goal is to stimulate the economy and create local jobs by promoting the responsible use of resources in the Alpine region. The call for projects targets two measures: supporting the modernization and local production capacities of small and medium-sized enterprises involved in the first and second transformation of local timber, and supporting the network animation and structuring of actors in the local timber transformation sector. The eligible beneficiaries are TPEs and SMEs involved in the certification or in the process of certification of ""Bois des Alpes,"" as well as associations. The operations must be carried out in the Massif des Alpes territory. The total budget for the call is €2,500,000. The call for projects opens on April 4, 2023, and closes on October 15, 2023.",04 April 2023,15 October 2023,"- Increase the supply of certified locally transformed alpine timber
- Support companies in the certification process of ""Bois des Alpes""
- Help companies meet the local demand for processed wood products in the construction sector
- Stimulate the local economy and create local jobs through the sustainable valorization of resources in the Massif des Alpes
- Modernize and improve the local production capacities of small and medium-sized enterprises in the timber transformation sector
- Support the animation and organization of the network of local timber transformation actors
- Eligible beneficiaries include TPEs and SMEs in the first and second transformation of certified or in process of certification ""Bois des Alpes"" timber
- Eligible beneficiaries for Measure 2 are associations
- Project operations must be carried out within the territory of the Massif des Alpes
- Total funding for the call is 2,500,000 euros
- The call is open from April 4, 2023, to October 15, 2023",2500000,NA,https://europe.maregionsud.fr//projets/detail/accroitre-loffre-certifiee-du-bois-doeuvre-alpin-transforme-localement-1
Réduire les inégalités dans les quartiers politique de la ville - ITI NCA.,open,"L'appel à projets vise à réduire les inégalités dans les quartiers politique de la ville en mettant en œuvre des actions visant à soutenir les équipements collectifs, améliorer le cadre de vie et la sécurisation des zones urbaines, ainsi que favoriser le développement des activités économiques. Il s'adresse aux structures publiques et privées, ainsi qu'aux bailleurs sociaux. Le montant total de l'appel est de 3 000 000 €. Les projets peuvent être déposés sur le portail E-Synergie avant le 15 juin 2023 ou le 19 octobre 2023.",14 April 2023,19 October 2023,"- Réduire les inégalités dans les quartiers politique de la ville
- Soutenir les équipements collectifs pour améliorer l'accès aux services de base
- Améliorer le cadre de vie et la sécurisation des quartiers
- Soutenir le développement des activités économiques pour créer de l'emploi
- Les bénéficiaires potentiels sont les structures publiques, privées et les bailleurs sociaux
- Les quartiers politique de la ville inscrits dans le périmètre géographique de l'ITI NCA sont éligibles
- Le dépôt des projets se fait sur le portail E-Synergie
- Le montant total de l'appel est de 3 000 000 €
- Les dates de dépôt sont le 15 juin 2023 et le 19 octobre 2023 avant minuit.",3000000,NA,https://europe.maregionsud.fr//projets/detail/reduire-les-inegalites-dans-les-quartiers-politique-de-la-ville-iti-nca
Réduire les inégalités dans les quartiers politique de la ville (TPM),open,"Cet appel à projets vise à réduire les inégalités dans les quartiers prioritaires de la politique de la ville (TPM). Les objectifs sont de soutenir les équipements collectifs, d'améliorer le cadre de vie et de soutenir le développement des activités économiques dans ces quartiers. Les bénéficiaires potentiels sont les structures publiques, privées et les bailleurs sociaux. Les quartiers éligibles sont ceux inscrits dans le périmètre géographique de l'ITI TPM. Le dépôt des projets se fait sur le portail E-Synergie avant le 11 mai 2023 et le 16 novembre 2023. Le montant total de l'appel est de 2 400 000 €.",16 March 2023,16 November 2023,"- The objective of the project is to reduce inequalities in priority neighborhoods through action in various areas.
- The project should support the development of collective facilities to improve access to basic services for the population.
- The project should aim to improve the living environment and safety to enhance attractiveness.
- The project should support the development of economic activities to address employment issues.
- The beneficiaries can be public structures, private companies, associations, and social housing providers.
- The eligible areas are the priority neighborhoods within the geographic scope of the ITI (Integrated Territorial Investment) area.
- The project should be submitted through the E-Synergie portal.
- There are two submission deadlines: May 11, 2023, and November 16, 2023.
- The total budget for the call is €2,400,000.",2400000,NA,https://europe.maregionsud.fr//projets/detail/reduire-les-inegalites-dans-les-quartiers-politique-de-la-ville-tpm
Réduire les inégalités dans les quartiers politique de la ville (MAMP),open,"Cet appel à projets vise à réduire les inégalités dans les quartiers prioritaires de la politique de la ville en agissant sur différents leviers tels que le soutien aux équipements collectifs, l'amélioration du cadre de vie et la sécurisation, ainsi que le développement des activités économiques. Il concerne les quartiers inscrits dans le périmètre géographique de l'ITI MAMP. Les bénéficiaires potentiels sont les structures publiques, privées et les bailleurs sociaux. Le montant total de l'appel est de 11 000 000 €. La date de clôture est le 19 octobre 2023.",16 March 2023,19 October 2023,"- Réduire les inégalités dans les quartiers politique de la ville
- Soutien aux équipements collectifs pour répondre aux enjeux d'accès aux services de base
- Amélioration du cadre de vie et la sécurisation pour répondre aux enjeux d'attractivité
- Soutien au développement des activités économiques pour répondre aux enjeux en termes d'emploi
- Bénéficiaires potentiels : structures publiques (collectivités territoriales, établissements publics), privées (entreprises, associations) et bailleurs sociaux
- Zones d'éligibilité : quartiers politique de la ville inscrits dans le périmètre géographique de l'ITI MAMP
- Montant total de l'appel : 11 000 000 €
- Dates de dépôt : jeudi 25 mai 2023 et jeudi 19 octobre 2023 avant minuit",11000000,NA.,https://europe.maregionsud.fr//projets/detail/reduire-les-inegalites-dans-les-quartiers-politique-de-la-ville
